,ConvertedCompYearly
1645,95541.0
1646,87231.0
1648,90221.0
1649,207000.0
1651,25777.0
1652,124127.0
1654,18000.0
1655,82703.0
1656,29000.0
1658,6798.0
1659,51935.0
1664,45111.0
1665,210000.0
1666,76000.0
1668,120000.0
1669,62296.0
1672,26320.0
1677,15500.0
1680,15000.0
1681,69814.0
1683,105500.0
1685,42962.0
1687,33296.0
1688,103000.0
1689,58000.0
1690,33296.0
1694,60863.0
1696,130000.0
1697,98599.0
1698,11189.0
1700,170828.0
1701,43127.0
1703,49407.0
1704,47259.0
1705,145386.0
1707,120000.0
1708,23375.0
1709,226000.0
1710,21587.0
1711,127000.0
1712,32954.0
1713,54442.0
1715,33568.0
1717,51555.0
1718,38666.0
1720,53808.0
1722,97740.0
1726,56388.0
1727,180000.0
1729,142000.0
1730,160000.0
1731,91295.0
1736,36000.0
1737,152517.0
1741,168000.0
1742,200000.0
1743,122913.0
1744,8951.0
1745,127813.0
1748,30074.0
1751,230000.0
1752,70063.0
1753,98135.0
1758,155000.0
1762,5543.0
1764,108906.0
1765,6183.0
1766,19142.0
1767,69814.0
1769,25777.0
1771,42962.0
1773,260000.0
1775,30000.0
1778,55164.0
1780,26854.0
1781,121018.0
1784,42962.0
1786,95592.0
1787,85925.0
1788,25176.0
1791,235000.0
1792,48333.0
1793,33419.0
1794,46000.0
1795,41872.0
1796,45111.0
1797,62000.0
1798,55000.0
1800,16112.0
1801,79201.0
1804,130000.0
1805,64444.0
1806,104458.0
1807,97052.0
1808,110000.0
1809,53703.0
1811,36365.0
1813,15974.0
1815,56925.0
1816,230000.0
1817,65271.0
1818,144998.0
1824,64444.0
1826,105706.0
1827,197000.0
1828,70000.0
1829,80000.0
1830,32222.0
1831,112777.0
1835,130000.0
1836,32222.0
1837,75184.0
1839,200000.0
1842,177069.0
1843,163000.0
1844,73487.0
1847,95541.0
1848,53205.0
1849,72499.0
1851,155000.0
1852,42640.0
1853,118147.0
1855,120330.0
1856,9714.0
1857,52840.0
1858,171850.0
1859,64341.0
1866,76433.0
1867,2073.0
1868,180000.0
1869,96666.0
1872,121429.0
1874,57325.0
1875,91295.0
1876,77000.0
1877,90866.0
1880,36779.0
1881,57144.0
1882,6367.0
1886,48333.0
1888,145000.0
1890,138216.0
1891,63370.0
1892,120000.0
1895,142614.0
1898,19747.0
1901,139628.0
1902,206000.0
1903,80000.0
1905,27231.0
1907,142000.0
1912,61866.0
